endeavor,to make an effort, to try very hard"
offhand,Without preparation or forethought
impermeable,that cannot be permeated
pertain,belong as a part have reference
narcissism,Self-love
yeoman,man owning small estate; middle-class farmer
affinity,close connection; relationship
edible,fit to be eaten/not poisonous
coagulation,change to a thick and solid state
permeate,spread into every part of
sheath,cover for the blade of a weapon or a tool
extinguish,end the existence of/wipe or put out
scent,smell (especially pleasant)
apt,well-suited; quick-witted
submerge,put under water liquid sink out of sight
dote,show much fondness center one's attention
succumb,yield, die"
benefactor,person who has given help
engulf,swallow up
dullard,a stupid, insensitive person"
ambidextrous,able to use the left hand or the right equally well
complaisant,trying to please; obliging
solvent,of the power of forming a solution
sanction,approval (by authority) penalty
negligent,taking too little care
sobriety,quality or condition of being sober
treacherous,not to be trusted, perfidious"
clientele,customers
mischievous,harmful; causing mischief
hypocrisy,falsely making oneself appear to be good
immutable,that cannot be changed
judicious,sound in judgment; wise
commemorate,keep the memory of
bogus,sham; counterfeit; not genuine
reminiscent,suggest something in the past
fragrant,sweet-smelling
warrant,authority written order guarantee
ascend,go or come up
flop,fail/move/fall clumsily
ambiguous,doubtful; uncertain
gallant,brave,behaves well with women"
volatile,changeable inconstant fickle unstable explosive
edify,instruct; correct morally
redeem,get back by payment compensate
divergence,getting farther apart from a point
sawdust,tiny bits of wood
tractable,easily controlled or guided
retrograde,receding
evasive,tending to evade
dwarf,person much smaller the usual size
brass,yellow metal (mixing copper and zinc)
woo,try to win
pest,destructive thing or a person who is nuisance
connoisseur,a person with good judgement (e.g.. in art)
lampoon,publicly mock or ridicule
suffocate,cause or have difficulty in breathing
misanthrope,person who hates mankind
implicit,implied though; not plainly expressed
impromptu,without preparation
adulteration,making unpure; poorer in quality
acclaimed,welcomed with shouts and approval
sequence,succession connected line of
abhor,to hate; to detest
eloquence,fluent speaking skillful use of language
jabber,talk excitedly; utter rapidly
enzyme,catalyst
cumbersome,burdensome; heavy and awkward to carry
buoyant,able to float; light-hearted
perish,be destroyed decay
amalgamate,mix; combine; unite societies
acumen,Keen, quick, accurate insight or judgment"
moderation,quality of being limited; not extreme
appease,make quiet or calm
limp,lacking strength; walking unevenly
dormant,in a state of inactivity but awaiting development
brittle,easily broken
philanthropist,one who loves mankind
articulate,speak distinctly; connect by joints
indigenous,native
disrobe,undress
extralegal,outside the law
relapse,fall back again
surcharge,additional load/charge
alleviate,make (pain) easier to bear
